Last Name,First Name,SID,Email Address,Section
Maegyr,Talisa,BMB94857,talisa.maegyr@project_school.edu,D
Marsh,Bowen,TCE09928,bowen.marsh@project_school.edu,B
Martell,Doran,HXW92728,doran.martell@project_school.edu,D
Martell,Oberyn,ABG77872,oberyn.martell@project_school.edu,A
Martell,Trystane,SGM04582,trystane.martell@project_school.edu,E
Maximoff,Wanda,AXD31221,wanda.maximoff@project_school.edu,C
Mcfarlane,Dangelo,TXF41578,dangelo.mcfarlane@project_school.edu,B
Mordane,Septa,BMS82804,septa.mordane@project_school.edu,D
Mormont,Jeor,MJJ83180,jeor.mormont@project_school.edu,E
Mormont,Jorah,MXJ54725,jorah.mormont@project_school.edu,E
Mormont,Lyanna,CXN83965,lyanna.mormont@project_school.edu,B
Moro,Khal,CXW68726,khal.moro@project_school.edu,C
Myr,Thoros,JXW98212,thoros.myr@project_school.edu,D
Naharis,Daario,JMP63760,daario.naharis@project_school.edu,A
Nakloz,Kraznys,SXW76890,kraznys.nakloz@project_school.edu,E
Octavius,Otto,NXM87406,otto.octavius@project_school.edu,B
Osborn,Norman,CXA22039,norman.osborn@project_school.edu,B
Palmer,Christine,DSL24347,christine.palmer@project_school.edu,E
Parker,May,TXJ17476,may.parker@project_school.edu,E
Parker,Peter,JXU45537,peter.parker@project_school.edu,C
Payne,Ilyn,LXS77616,ilyn.payne@project_school.edu,B
Payne,Podrick,AXF16145,podrick.payne@project_school.edu,B
Pie,Hot,BCF26283,hot.pie@project_school.edu,D
Potts,Pepper,CXW91147,pepper.potts@project_school.edu,C
Pree,Pyat,RGE65208,pyat.pree@project_school.edu,C
Pycelle,GrandMaester,DXP49123,grandmaester.pycelle@project_school.edu,D
Quill,Peter,DXN21936,peter.quill@project_school.edu,E
Raven,Three-Eyed,TGL37922,three-eyed.raven@project_school.edu,E
Rayder,Mance,CXR98775,mance.rayder@project_school.edu,B
Reed,Jojen,AJT73762,jojen.reed@project_school.edu,D
Reed,Meera,PMK49230,meera.reed@project_school.edu,C
Rhodey,James,MXP86000,james.rhodey@project_school.edu,B
Rivers,Black,SXV18182,black.rivers@project_school.edu,C
Rogers,Steve,NJP08545,steve.rogers@project_school.edu,D
Romanoff,Natasha,BCH39598,natasha.romanoff@project_school.edu,D
Royce,Yohn,LXD16906,yohn.royce@project_school.edu,A
Sam,Little,RKR43763,little.sam@project_school.edu,A
Sand,Ellaria,BXM17365,ellaria.sand@project_school.edu,A
Sand,Nymeria,RXD55884,nymeria.sand@project_school.edu,E
Sand,Obara,KSP17362,obara.sand@project_school.edu,B
Sand,Tyene,TXW75701,tyene.sand@project_school.edu,A
Seaworth,Davos,RSJ94156,davos.seaworth@project_school.edu,E
Seaworth,Matthos,MXB67936,matthos.seaworth@project_school.edu,A
Selmy,Barristan,JXJ82678,barristan.selmy@project_school.edu,D
Septon,High,SXS30610,high.septon@project_school.edu,B
Slynt,Janos,BGM86325,janos.slynt@project_school.edu,B
Snow,Jon,TBR17292,jon.snow@project_school.edu,D
Sparrow,The,LXG35058,the.sparrow@project_school.edu,A
Stark,Arya,OXR30270,arya.stark@project_school.edu,B
Stark,Benjen,CHH70562,benjen.stark@project_school.edu,D
Stark,Bran,SXT33634,bran.stark@project_school.edu,E
Stark,Catelyn,NSB43944,catelyn.stark@project_school.edu,E
Stark,Eddard,CXC08121,eddard.stark@project_school.edu,E
Stark,Rickon,VKB66346,rickon.stark@project_school.edu,C
Stark,Robb,TXP55047,robb.stark@project_school.edu,B
Stark,Sansa,SXC85021,sansa.stark@project_school.edu,D
Stark,Tony,KXS29884,tony.stark@project_school.edu,E
Strange,Stephen,AXD67070,stephen.strange@project_school.edu,D
Targaryen,Daenerys,MXS33225,daenerys.targaryen@project_school.edu,D
Targaryen,Viserys,JXB40799,viserys.targaryen@project_school.edu,A
Tarly,Dickon,TMO55387,dickon.tarly@project_school.edu,C
Tarly,Randyll,KPR82051,randyll.tarly@project_school.edu,A
Tarly,Samwell,MJP68159,samwell.tarly@project_school.edu,A
Tarth,Brienne,KAM90876,brienne.tarth@project_school.edu,A
Thorne,Alliser,DCJ14616,alliser.thorne@project_school.edu,B
Tollett,Eddison,ARA97741,eddison.tollett@project_school.edu,D
Trant,Meryn,SXJ49423,meryn.trant@project_school.edu,C
Tully,Brynden,JAG55224,brynden.tully@project_school.edu,E
Tully,Edmure,EED42850,edmure.tully@project_school.edu,C
Tyrell,Loras,CXH80084,loras.tyrell@project_school.edu,C
Tyrell,Mace,AKR14831,mace.tyrell@project_school.edu,A
Tyrell,Margaery,SXS90647,margaery.tyrell@project_school.edu,C
Tyrell,Olenna,AXL60952,olenna.tyrell@project_school.edu,D
Umber,Greatjon,KXM62826,greatjon.umber@project_school.edu,B
Unella,Septa,LXB98047,septa.unella@project_school.edu,B
Walton,Steelshanks,JXR10806,steelshanks.walton@project_school.edu,B
Warg,Thenn,MXL67812,thenn.warg@project_school.edu,D
Wilson,Sam,LKW48972,sam.wilson@project_school.edu,D
Wolkan,Maester,EXD72538,maester.wolkan@project_school.edu,C
Worm,Grey,DXJ78877,grey.worm@project_school.edu,B
Yarwyck,Othell,JXO31236,othell.yarwyck@project_school.edu,B
Yarwyck,Othell,MXS33416,othell.yarwyck@project_school.edu,D
